txt_municipio;txt_uf;num_ano_financiamento;  qtd_uh_financiadas  ;  vlr_financiamento  ;  vlr_subsidio  
Abadia de Goiás ;GO;2009; 4 ; 199.240,00 ; 46.802,09 
Abadia de Goiás ;GO;2010; 9 ; 489.194,29 ; 151.253,00 
Abadia de Goiás ;GO;2011; 15 ; 984.921,13 ; 139.322,99 
Abadia de Goiás ;GO;2012; 11 ; 889.737,90 ; 205.832,32 
Abadia de Goiás ;GO;2013; 10 ; 959.346,89 ; 156.336,89 
Abadia de Goiás ;GO;2014; 12 ; 1.154.569,79 ; 217.680,92 
Abadia de Goiás ;GO;2015; 15 ; 1.607.099,15 ; 254.939,85 
Abadia de Goiás ;GO;2016; 14 ; 1.458.882,32 ; 219.517,03 
Abadia de Goiás ;GO;2017; 8 ; 938.569,19 ; 150.234,44 
Abadia de Goiás ;GO;2018; 9 ; 1.023.798,98 ; 124.757,51 
Abadia de Goiás ;GO;2019; 8 ; 934.112,03 ; 117.391,95 
Abadia de Goiás ;GO;2020; 13 ; 1.485.084,17 ; 201.072,62 
Abadia de Goiás ;GO;2021; 20 ; 2.349.218,68 ; 350.850,50 
Abadia de Goiás ;GO;2022; 16 ; 2.025.856,05 ; 240.661,91 
Abadia de Goiás ;GO;2023; 12 ; 1.679.393,40 ; 119.071,90 
Abadia dos Dourados ;MG;2009; 15 ; 678.059,58 ; 172.584,00 
Abadia dos Dourados ;MG;2010; 24 ; 1.247.529,85 ; 318.383,00 
Abadia dos Dourados ;MG;2011; 19 ; 1.103.757,40 ; 86.090,19 
Abadia dos Dourados ;MG;2012; 14 ; 784.408,71 ; 233.825,39 
Abadia dos Dourados ;MG;2013; 13 ; 848.503,02 ; 275.957,65 
Abadia dos Dourados ;MG;2014; 21 ; 1.447.309,54 ; 375.359,87 
Abadia dos Dourados ;MG;2015; 32 ; 2.435.281,50 ; 639.809,50 
Abadia dos Dourados ;MG;2016; 35 ; 2.487.571,91 ; 661.071,70 
Abadia dos Dourados ;MG;2017; 11 ; 802.564,39 ; 257.269,77 
Abadia dos Dourados ;MG;2018; 23 ; 1.629.877,62 ; 545.261,25 
Abadia dos Dourados ;MG;2019; 10 ; 858.223,85 ; 229.578,94 
Abadia dos Dourados ;MG;2020; 16 ; 1.532.204,71 ; 363.200,40 
Abadia dos Dourados ;MG;2021; 14 ; 1.343.334,72 ; 219.284,96 
Abadia dos Dourados ;MG;2022; 8 ; 836.269,06 ; 168.490,32 
Abadia dos Dourados ;MG;2023; 5 ; 589.236,21 ; 98.843,99 
